name	180919-190527_Brain_S35	32150043_EXO_S34	32152359_EXO_S1	32152366_EXO_S2	32152381_EXO_S3	32152446_EXO_S4	32152451_EXO_S5	32160028_EXO_S6	32160083_EXO_S7	32160120_EXO_S8	32160241_EXO_S9	32160246_EXO_S10	32160323_EXO_S11	32160457_EXO_S12	32160466_EXO_S13	32160472_EXO_S14	32160600_EXO_S15	32160766_EXO_S16	32160782_EXO_S17	32161246_EXO_S18	32161252_EXO_S19	32161358_EXO_S20	32161367_EXO_S21	32161415_EXO_S22	32170068_EXO_S23	32170276_EXO_S24	32170346_EXO_S25	32170365_EXO_S26	32170367_EXO_S27	32170368_EXO_S28	32170381_EXO_S29	32170400_EXO_S30	32170453_EXO_S31	32170613_EXO_S32	32170644_EXO_S33
hsa-miR-196a-5p	6	21	265	534	259	650	511	985	319	241	118	252	362	691	1533	204	1440	29	440	175	488	124	1404	69	70	1683	193	616	1643	347	913	505	300	1	352
hsa-miR-196b-3p				5	3	1						16		2				8						6											
hsa-miR-196b-5p		96	61	132	102	195	183	92	112	122	70	89	102	367	525	218	348	4	246	123	168	62	642	89	34	842	205	3034	898	199	191	83	258	1	109
hsa-miR-197-3p	9095	43	148	152	159	233	154	256	104	102	18	135	106	229	418	85	343	3	232	34	76	62	409	101	32	325	175	644	372	55	112	198	192	54	69
hsa-miR-197-5p	1			6										3																					
hsa-miR-1976				3																															
hsa-miR-199a-3p	3409	7	3	16	17	44	50	21	25	26		22	2	8	9	7	46	1	6	10	34	2			1	75	10	31	80	22	31		17		6
hsa-miR-199a-5p	470								4						2			1			2	1		12		1		3							
hsa-miR-199b-3p	3407	7	3	16	17	44	50	21	25	26		22	2	8	9	7	46	1	6	10	34	2			1	75	10	31	80	22	31		17		6
hsa-miR-199b-5p	95			3	1		9								1				1		2										1				
hsa-miR-19a-3p	185		11	5	19	17	1	13		17		21	10	12	43	25	21	1	2	1	10	7	21	5		50	10	78	27	8	14		47		
hsa-miR-19b-1-5p														1																					
hsa-miR-19b-3p	1004	30	37	87	138	100	23	20	26	14	19	64	98	108	169	99	226	2	124	59	37	38	302	26	32	375	44	971	186	59			64		19
hsa-miR-200a-3p	124	1212	2632	3926	5697	4180	5554	3654	1276	1316	1032	2321	3812	8703	10714	2968	12977	149	5547	2136	2976	2001	9221	2448	918	15585	3176	14052	10165	2448	2163	2266	6003	176	2330
hsa-miR-200a-5p	1	30	127	107	181	127	168	93	74	35	47	127	105	232	289	105	361	12	214	72	82	82	325	174	28	387	136	616	476	89	75	142	139		99
hsa-miR-200b-3p	543	3931	7442	11008	16651	12279	14228	12759	4797	3243	2388	6237	7864	18786	23496	9272	29687	258	11559	6196	5346	4685	26084	7208	2802	41875	8396	77491	33706	6688	6376	4001	10177	1272	4872
hsa-miR-200b-5p		150	254	446	530	420	708	691	242	161	120	236	324	664	1135	289	1179	11	599	206	260	164	984	292	225	1144	518	1900	1099	225	143	145	435	32	147
hsa-miR-200c-3p	182	5040	4758	6900	11977	10526	14227	12039	4737	2938	3459	4754	6005	20524	19224	9443	30906	298	11327	6901	6457	5321	29485	6354	4047	34037	11560	75604	30271	9016	6404	4135	10986	1200	5478
hsa-miR-200c-5p													10	2			5									6		19							
hsa-miR-202-3p																												1							
hsa-miR-202-5p	8																											4							
hsa-miR-203a-3p	3201	2429	2948	2030	19755	14520	4837	7488	7069	3387	2737	2963	2265	17995	8050	4268	9434	1140	6250	3439	3092	6678	14847	2327	3229	7106	4607	13529	45088	7913	3315	3105	11853	1311	1642
hsa-miR-203a-5p							9			1									4										8						
hsa-miR-203b-3p	90			4	6	4			4			14		6	9	9	20				3	10	11	38		16	2	38	42	15			4		
hsa-miR-204-3p	90	33	130	219	169	134	174	367	121	105	19	179	327	193	524	128	319		508	41	148	88	299	64	17	1092	41	243	363	40	136	29	501	26	5
hsa-miR-204-5p	16832	3614	9558	12168	11117	11707	10488	22290	9324	5338	797	12847	11269	13813	27131	6245	17630	352	34063	4021	8693	3669	19965	4975	3319	62005	4366	12328	21400	2931	16969	5050	16486	132	5624
hsa-miR-205-3p										8					3	2																			
hsa-miR-205-5p	31	120	455	711	4297	2847	1712	1209	1955	618	228	344	560	5618	1425	272	799	168	460	388	419	1069	2038	459	423	505	826	1268	8001	3039	737	920	2251	228	344
hsa-miR-206	29		15	19	3	4	4					12	16	9	27	9	20	1	2	4	4		22		1	49	4	24	35						6
hsa-miR-20a-3p	62			7									2		4	2			17	5		6	19	7		29		13	8						
hsa-miR-20a-5p	1786	21	66	118	160	133	93	67	65	32	1	48	54	118	273	87	209	1	114	54	47	74	151	43	56	330	50	518	386	41	126	116	95	6	86
hsa-miR-20b-3p	21					11									4	4	1				13							72							
hsa-miR-20b-5p	273		18	27	34	24	43	32	18	3			5	20	61	35	35	1	15	14	21		27	4		99	10	486	97				53		10
hsa-miR-21-3p	140	18	25	57	48	19	79	16	11	15	14	9	16	142	111	11	157	8	56	18	72	68	67	14	25	73	49	99	148	31	1		40		15
hsa-miR-21-5p	114709	7975	16268	19168	32101	23914	55437	20984	10843	11034	19367	13915	12672	88311	54112	17879	92294	1246	21528	15874	32097	26802	57354	13484	8463	83854	19719	137622	82035	40342	17535	17687	42809	2607	14109
hsa-miR-210-3p	60	84	14	11	54	37	11		12	22	1	15	15	30	44	26	52	4	114	15	10	27	4	15		90		67	24	14		16	75		
hsa-miR-210-5p			4	14	18	1	9			4			3	10	7	10	25		24		2	2	4	5		21		14	16		19				
hsa-miR-211-3p																					4														
hsa-miR-211-5p	112	3	13	18	8	24	11	11	33	10		3	10	35	37	10	19		29	4	2	2	10	1	1	107	1	14	83	26	48	31	89		3
hsa-miR-2110	633	7	23	24	24	33	79	103	48	6		6	31	26	102	39	99		42		9	16	138	17	14	71	19	148	112	19	46		141		9
hsa-miR-2113	35																																		
hsa-miR-2114-5p																				2															
hsa-miR-2115-3p													7										26												
hsa-miR-2115-5p							11										1											1							
hsa-miR-2116-3p	19				7	15		42		1		9	1	11	8	2	2		8	6	6						20	11	16			33			
hsa-miR-2116-5p																2										10	23	4							
hsa-miR-212-3p	1706						12							2			1	1	3																
hsa-miR-212-5p	2078																	1															18		
hsa-miR-214-3p	587					11										2	4				3								5						
hsa-miR-215-5p	18		2	10	13	13	18	14	15	6	5		16	7	39	3	23		6	3	19	15	85			15		9	4	8	4	37	3		34
hsa-miR-216a-3p			2									7																							
hsa-miR-216a-5p																					1								11						21
hsa-miR-216b-3p								1																											
hsa-miR-216b-5p	117	17	11		3	8	2		1			19	2	6	14	3	8				2					3		10	85		19		16		
hsa-miR-217-5p	18					1							11	4	4		5				2		13						17						7
hsa-miR-218-1-3p																					3								13						
hsa-miR-218-2-3p	4																		1																
hsa-miR-218-5p	36970	30	42	317	116	141	60	62	144	68		88	132	82	128	24	116	1	228	54	66	8	415	41	23	188		179	263	25	131	133	119		15
hsa-miR-219a-1-3p	20									6					1					4	5					2		5							
hsa-miR-219a-2-3p	169751	1	1	1				1				1						8				1	1	3		1				1	3	1		1	
hsa-miR-219a-5p	595																																		
hsa-miR-219b-3p																														1					
hsa-miR-22-3p	38477	693	847	1458	2093	2203	1845	1000	1415	995	644	1086	1701	3135	5122	1264	4578	80	4293	1049	1625	1328	6102	887	414	5654	1197	4257	6168	981	1422	838	3249	81	843
hsa-miR-22-5p	1436		56	68	210	134	118	63	72	69	31	44	113	128	165	54	268		178	66	81	67	168	111	1	388	81	327	204	43	21		182		38
hsa-miR-221-3p	58358	288	1334	4961	4804	2022	8004	2614	3111	1070	520	861	2517	3033	4725	1231	5936	183	6229	1265	850	1441	5642	1958	818	5241	765	4412	5033	882	997	2013	4490	104	2141
hsa-miR-221-5p	1039		13	29	41	22	18	14	20	38	2	19	26	18	60	18	89		58	4	10		72			97	5	54	88	25		53	46		30
hsa-miR-222-3p	52224	327	1234	4328	4584	1636	7502	3588	2731	1148	519	1087	2529	2867	4664	1168	6294	145	6124	1532	890	1296	4808	1386	1000	7072	658	4244	3837	929	1072	2011	3708	269	1810
hsa-miR-222-5p	12				3	16	34	15		4			14		6	1			23							2			3			54			19
hsa-miR-223-3p	3761	220	20	1541	31	509	8538	111	279	641	13	175	153	265	12	23	11	1	28	102	692	704	105	73	8	22		213	3129	2575	545	5240	538	339	222
hsa-miR-223-5p	18			13	1	1	47			3				3						1		2							13	9			23		
hsa-miR-224-3p			5		32	4	19				22		2	9	7	3	28		16	6		4	4	2		13	29	41	9	8			53		
hsa-miR-224-5p	193	129	154	182	455	255	282	230	121	101	194	119	88	355	316	77	365	32	188	69	153	108	363	79	77	350	204	251	810	234	44	98	369	77	47
hsa-miR-2276-3p	52		3						6				3		15	1	1				4					28		1	3						
hsa-miR-2276-5p																							32												
hsa-miR-2277-3p	39																2																		
hsa-miR-2277-5p	103								10				4		1		2				6					9									
hsa-miR-2278													2													10			9						
hsa-miR-2355-3p	320			1		14	13						1	7	4				14				13			11	5	8	39						
hsa-miR-2355-5p	19					2																						2	13						
hsa-miR-23a-3p	30006	1760	1882	2281	5089	3025	5945	4785	2298	1491	672	2013	2296	6227	7919	2208	7319	178	6565	1538	2019	2043	7305	2372	1171	11686	1801	7155	8072	1938	2463	1776	4841	756	2113
hsa-miR-23a-5p	9		1	5	5	13	1	20					10	3	17	2	31		17	8	4	1		8		37		11	27	14		1	20		
hsa-miR-23b-3p	125256	1459	2069	4866	5673	6522	4953	5681	4413	2636	949	2776	4315	6069	10187	2875	7749	227	8039	2907	3133	1901	17752	2225	1292	16761	2545	20722	17997	3075	7274	3276	5847	736	2655
hsa-miR-23b-5p	295		14	9	13	30		13	5	3			12	5	26	4	9		27	10	8	5	48	13		31		72	21	22	40		21		
hsa-miR-23c	132		2	2	5	7	4	4	2	2		1	5	7	16	1	9		9	1	2		23	2		22		19	15	3	3	2	5	38	1
hsa-miR-24-1-5p	1081		1	3	31	16	11	19	7	7			8	26	36	16	49		47	17	5	3	33			87		89	44	21	1				1
hsa-miR-24-2-5p	132		3	6	35	24	51	16	2	20	23	4	14	36	98	15	62		29	11	8	11	16	17		95	1	16	76			39	11		23
hsa-miR-24-3p	129976	920	603	1190	2110	1938	2046	1224	1455	941	298	1023	1418	3187	5480	1280	4967	74	4234	961	1507	1308	5101	990	450	6463	1046	5155	6239	1182	1458	942	2239	285	782
hsa-miR-2467-5p	5																																		
hsa-miR-25-3p	14737	307	443	642	949	699	1653	893	656	357	133	313	477	1103	1967	564	1834	23	1227	400	545	273	1772	400	111	2331	624	5781	2365	375	680	471	1347	53	439
hsa-miR-25-5p	61		8	1	4	9		3		1			17	3	11	2	10			3	18		13			15		19	7				21		36
hsa-miR-2681-3p	107				5										4																				
hsa-miR-2681-5p	24																																		
hsa-miR-2682-5p	261																																		
hsa-miR-26a-1-3p	62			2	12	4				9			6	3	20	6	10			2	3		56			18	8	7	13						
hsa-miR-26a-2-3p	448		7	11	31	4		10	13			9	16	15	28	16	50		17		16	7	91	18		45	20	62	39	5			10		12
hsa-miR-26a-5p	1446269	16462	31957	59098	65657	42994	63902	78202	29051	25867	8209	33298	37400	77613	144451	44414	134271	1791	77938	36481	37365	21299	140338	38366	17436	213408	26390	217542	155022	20848	39700	28195	44826	2754	28699
hsa-miR-26b-3p	141	11	2	14	21	14	55	13	3	5		8	17	15	7	4	24	1	45	16	6	16	24	8		46		140	55	12	7		9		6
hsa-miR-26b-5p	112413	3590	5147	8344	9814	7736	13842	14579	4625	4514	1814	4923	5861	15923	21742	8883	23500	225	10697	6110	6399	3525	22364	5759	2498	31197	6893	78025	27133	5012	8046	5234	7714	760	4317
hsa-miR-27a-3p	30075	495	958	995	2078	1231	3019	2144	996	702	426	839	928	3922	4580	1395	4795	364	2233	749	1534	940	2840	923	414	5801	659	3010	3731	836	1041	1241	1537	88	1004
hsa-miR-27a-5p	42		10	12	23	3	57	104	3			1	6	21	29	2	33		46	8	9	11	32	18		61		8	15		41				
hsa-miR-27b-3p	400627	1610	4424	9500	10546	12097	8781	9089	7230	4272	1223	5902	7544	12510	22825	5600	18105	691	13054	5388	7941	4082	26459	4722	2499	35852	4304	25740	39624	4823	8257	5218	7080	624	4911
hsa-miR-27b-5p	724		25	26	47	33	31	85	14	7			25	35	87	12	41	3	62	17	32	3	96	44	24	103	37	115	89	3	24	25	138		16
hsa-miR-28-3p	3189	149	240	595	806	509	554	759	417	169	198	370	503	817	1438	441	1179	8	1309	266	241	225	1449	199	205	1509	390	3638	1445	327	391	329	717	40	214
hsa-miR-28-5p	5190	114	167	318	404	315	228	91	155	90	87	248	264	350	527	217	523	12	532	123	146	249	444	63	114	783	237	2573	821	284	145	221	266	13	138
hsa-miR-2861		38			4															3															
hsa-miR-296-3p	44			3	8	4			1				1		12		25		13	6				6		16			3	12			15		
hsa-miR-296-5p	19			1	1				8	11				3						1	3							1			21		17		
hsa-miR-299-3p	275																																		
hsa-miR-299-5p	793																																		
hsa-miR-29a-3p	136290	590	1264	2186	3703	2327	2050	1444	998	769	334	1264	1818	3838	4605	1659	6994	59	3135	1254	1730	1085	4746	1800	680	6932	1121	12918	6170	937	1423	989	1970	110	1047
hsa-miR-29a-5p	176			4	8		8		2						1	6	39		15		2		18			4		21	8						
hsa-miR-29b-1-5p	310		28	11	22	22	29	52	3	6	11	11	26	18	34	14	38	2	54	12	21	14	37	1	10	53	9	87	37	21	52		16		18
hsa-miR-29b-2-5p	1074		14	13	16	16			12	11	5		5	39	41	9	8		7	23	16	15	10			35	17	51	49	9	12	45	100		
hsa-miR-29b-3p	16472	91	180	204	422	385	247	169	129	108	105	233	263	956	886	390	1211	29	589	193	302	176	1058	217	117	1390	355	2877	861	222	264	59	297	27	159
hsa-miR-29c-3p	10713	145	262	442	730	578	375	223	225	156	142	319	348	1418	1126	624	1462	23	761	375	367	340	1576	318	192	1846	447	4689	1794	303	299	214	488	53	343
hsa-miR-29c-5p	938		22	50	71	58	116	8	37	32		28	41	127	98	31	134		150	28	24	15	58	35	8	182	45	393	104	43	158	49	118		54
hsa-miR-301a-3p	30			6		5											2						16					4	4	1					
hsa-miR-301a-5p	82			2	1	1								5	20		1				3							5							
hsa-miR-301b-3p	14																																		
hsa-miR-301b-5p	20																																		
hsa-miR-302a-5p	18																												8						
hsa-miR-302b-3p	21																								1			1	1		1				
hsa-miR-302d-3p	1																																		
hsa-miR-3059-3p	29																																		
hsa-miR-3059-5p	637																																		
hsa-miR-3064-3p					2																														
hsa-miR-3064-5p	149			2						5		8											1			6		24	12	2					
hsa-miR-3065-3p	106	19	11	5	44	4	54	14	8	5			12	38	20	6	58		5	5	25		21		4	35	5	68	29	7				36	
hsa-miR-3065-5p	119	12	7	15	68	23	90		16	10			11	90	29	21	106	1	2	2	17	12	58	14	3	72		118	61	16	1			5	
hsa-miR-3074-3p					2			1				1		7			6											8							
hsa-miR-3074-5p			7		7									4	5				32							8	12	7							
hsa-miR-3085-3p	50					1								4			4																		
hsa-miR-3085-5p	23																																		
hsa-miR-30a-3p	10722	2251	5430	8093	10398	6031	11411	14755	6365	4033	1007	5843	6765	10174	24168	5568	21065	206	18570	4188	5065	3133	14821	6236	2293	32625	2872	16293	21739	2239	6636	3661	8715	642	3593
hsa-miR-30a-5p	299313	26893	90479	137041	195686	128909	144233	162248	66969	65641	13703	98859	111214	184405	368808	99181	350833	4315	194163	75085	101580	50822	214221	74219	32596	563814	46795	310755	442972	33690	89684	55922	91593	3550	58056
hsa-miR-30b-3p	163			21	19	6	6	15	22	33			22	4	31	4	17		15	7	13	8	114		2	94	10	121	26	5	1		28		23
hsa-miR-30b-5p	11351	772	2828	5210	6289	3701	4701	4633	2362	1681	381	2737	5531	6472	8228	2350	7964	123	8314	1930	2183	1949	10745	1483	1091	15862	1607	23356	8423	1178	3054	2566	5622	240	1547
hsa-miR-30c-1-3p	194			3	5	1	21	1	7	31			3	17	10	6	16		34			16	31			38		43	24						17
hsa-miR-30c-2-3p	1309	97	226	343	642	411	607	578	369	247	32	358	442	705	1503	342	1250	23	1171	269	244	211	926	271	166	1743	168	837	1406	141	102	227	663	54	218
hsa-miR-30c-5p	99470	5858	16564	21105	34678	21561	30348	38088	13690	10219	2627	17015	29218	37651	55923	15616	56774	626	43309	13603	14727	9311	52255	15878	6836	83650	10424	64861	56976	9153	22929	13226	24915	1432	13815
hsa-miR-30d-3p	97	1	2	10	12	6	8	42	2		2	10	10	27	43	6	40		22	5	16	41	87	1		53	1	27	54	1	31	1	4		3
hsa-miR-30d-5p	387474	12827	28406	75186	55966	45116	43693	74816	28411	19144	4885	29719	38000	53260	105499	28685	92179	1255	80792	28418	27678	18543	121190	18500	11022	164725	20945	165619	126484	12592	31553	23979	40623	1533	18119
hsa-miR-30e-3p	11880	422	521	1260	1416	751	1660	1627	842	492	129	661	1216	1411	3775	832	2728	56	3300	767	804	520	4053	824	317	4523	784	4700	3283	310	965	614	1163	40	582
hsa-miR-30e-5p	70334	2349	4879	11410	13065	9164	7687	9277	5858	4828	1478	5675	9666	14752	26524	6815	26491	290	17723	6845	8733	4936	28780	4393	3105	30890	5670	34797	28088	3727	5666	5303	9570	256	3389
hsa-miR-31-3p	12		4		1						8		5	4	8				7		1	18				11	1		15						
hsa-miR-31-5p	3291	91	472	672	1771	542	1612	1036	574	235	444	262	640	2149	1920	478	2715	29	1341	594	637	1136	1919	725	290	1885	465	789	1119	1155	473	381	1539	150	344
hsa-miR-3115	43																																		
hsa-miR-3117-3p	70																			3						1									
hsa-miR-3120-3p	68																																		
hsa-miR-3120-5p	15																																		
hsa-miR-3121-3p																														1					
hsa-miR-3122																							1												
hsa-miR-3124-5p	16			3										9															16						
hsa-miR-3125	14				6			1							3				4																
hsa-miR-3126-5p																												5							
hsa-miR-3127-3p														1			3		3								5		1						
hsa-miR-3127-5p	13					3			2				1		5	5	9		11				8				3		1				1		
hsa-miR-3128																	3																		
hsa-miR-3129-3p									5													4													
hsa-miR-3129-5p				6																															
hsa-miR-3130-3p	32													2														17		17					
hsa-miR-3130-5p	6				2															3								2							
hsa-miR-3131				2										1																					
hsa-miR-3133					2	4			3																										
hsa-miR-3135b					6																														
hsa-miR-3138				4	1		16								5					2	2					2									
hsa-miR-3139	8																																		
hsa-miR-3140-3p																										1									
hsa-miR-3140-5p			2														3																		
hsa-miR-3143																										1									
hsa-miR-3144-3p					10	8	31	40					8	2	14		2	1		1	2	6	11	18	6	4	9	3							
hsa-miR-3144-5p				2				26									9			15				11		15									
hsa-miR-3145-3p																							1			2									
hsa-miR-3145-5p	12		2				2		2											2									5						
hsa-miR-3148																	4																		
hsa-miR-3149	5													1																					
hsa-miR-3150a-5p									5			2			1											2	10								
hsa-miR-3150b-3p				1			13										4									3									
hsa-miR-3150b-5p																	3																		
hsa-miR-3151-5p	12			2																															
hsa-miR-3152-5p													4				2								3	14	6	3							
hsa-miR-3157-5p	44																													3					
hsa-miR-3158-3p	18				4							18		3	1		9												12	11					
hsa-miR-3158-5p					1																														
hsa-miR-3160-3p					1				3																										
hsa-miR-3162-5p																2																			
hsa-miR-3163																												6							
hsa-miR-3173-3p	21												2	1	3		5																		
hsa-miR-3173-5p	149		1	7	4	15		11	5		14	5	10	7	17	6	14			9	11	3	45	11	26	17	6	10	16			7			
hsa-miR-3174						4						1																							
hsa-miR-3175																					2														
hsa-miR-3176					1																														
hsa-miR-3177-3p	46		4											9					16				2					6							
hsa-miR-3178	33	34	8	16	11	15	9		1	51				7	10	28	11	5		6	8	19	11	28		21		158	66						
hsa-miR-3179	8																																		
hsa-miR-3180-3p	37			8										14																					
hsa-miR-3180-5p	26																																		
hsa-miR-3181											16			6						8		1							11						
hsa-miR-3182			5			44						13		22	41	46	1		15		5		65			14		170	51	13	18		33		
hsa-miR-3183	7																																		
hsa-miR-3185					4													6										4							
hsa-miR-3187-3p			3				1																14			3									
hsa-miR-3188	9	31																								7									
hsa-miR-3189-3p						1										2										2			1						
hsa-miR-3192-5p	20														3																				
hsa-miR-3193																3																			
hsa-miR-3195					3				2						14	1			47		5	8				19		32	9						
hsa-miR-3196						3																													
hsa-miR-3197																										1									
hsa-miR-3199	1																											3							
hsa-miR-32-3p	542	21	23	14	26	36	13	36		14		30	29	56	63	25	100		5	22	6	14	39	21	13	133	18	181	48	50	14	10	38		31
hsa-miR-32-5p	1509		17	61	42	32	42	25	1	6		27	20	155	226	28	109	1	39	17	52	1	199	21	22	183	37	239	136	26	69	48	15	1	25
hsa-miR-3200-3p	1610		4	2	1	4	1		1				1		10	6	10				5							3	6				29		
hsa-miR-3200-5p	139					1		11									5									8		3							
hsa-miR-320a-3p	25147	819	2264	3959	4317	3302	5460	5931	2958	1687	666	1889	1728	4058	7231	1702	6607	170	5150	1175	1622	1113	5499	2452	826	8459	1474	5794	8430	1528	2568	2073	4812	251	1508
hsa-miR-320a-5p																						12													
hsa-miR-320b	2270	78	206	239	355	239	314	711	227	163	69	93	162	381	577	251	517	49	328	59	197	64	341	293	25	525	72	275	598	122	264	73	275		104
hsa-miR-320c	1449	36	135	150	244	142	122	373	129	111	9	61	109	215	354	141	300	20	188	37	107	35	209	232	19	334	52	208	369	56	115	29	168		61
hsa-miR-320d	792	37	49	86	100	66	52	98	20	67	30	86	43	100	113	79	195	15	97	1	56	5	87	20	26	89	20	123	163	18	41		53		
hsa-miR-320e	150	36	10	6	2	12	19	2		14		1	4	14	14	12	4		1	1	7	4	30		1	10		15	23				21		
hsa-miR-323a-3p	31260			1	3		15	2					5		20	3			3				7	1		6		9	12	1					
hsa-miR-323a-5p	544																																		
hsa-miR-323b-3p	3705			2	6		1			7	3					3			9		7	2													
hsa-miR-323b-5p	32																																		
hsa-miR-324-3p	2772	9	38	115	135	103	87	64	134	41	17	91	86	167	189	84	289	1	174	69	50	48	246	53	17	289	86	602	206	40	82	105	147	28	38
hsa-miR-324-5p	1762	12	6	15	17	37	4		7	10			15	46	21	5	55		12	12	17	1	15	3	3	49		127	49	16			15		12
hsa-miR-326	901				2	14	8		17	8	2			9	7	3	12		20	1			50					27	4	5			41		1
hsa-miR-328-3p	11138		36	175	95	104	58	109	89	28	8	17	103	80	133	47	151	5	221	40	36	20	200	21	4	358	61	264	154	30	30		112		
hsa-miR-328-5p																			8							1									
hsa-miR-329-3p	30981			2	7	3		18		10			1									1		2				3	6						
hsa-miR-329-5p	243																																		
hsa-miR-330-3p	17223		9	35	51	45	17	26		24		9	28	68	43	8	68	1	52	32	27	24	50	14		53	45	100	69	32	22		24		
hsa-miR-330-5p	4055				4	4	2						5			9	3						5					6	6						
hsa-miR-331-3p	4082		57	86	141	91	200	110	54	53	32	69	79	228	321	75	292	6	295	58	122	21	169	63	27	423	94	466	257	30	54	78	141		84
hsa-miR-331-5p	543		5	7	33	2	39	16	16			2	4	19	26	4	38		28				69	3	41	14	17	88	12			29	70		
hsa-miR-335-3p	4193	21	62	46	61	63	51	84	93	61	11	35	19	56	119	38	58	5	99	22	42	48	131	8	24	285	111	145	74	39	59	14	166		
hsa-miR-335-5p	27370	160	328	216	411	327	428	298	179	204	13	285	391	562	1746	398	522	25	535	292	346	290	496	25	72	3395	137	1957	972	241	250	373	1121	14	142
hsa-miR-337-3p	493							17								2													6						
hsa-miR-337-5p	39																																		
hsa-miR-338-3p	39985		1	9	2		18	18	17			8	10	7	64		42		2		2	7	4			41		37	32						
hsa-miR-338-5p	47414	19	6	12	13	11	29	28	6				6	22	36		64	2			9	16	17	2	7	85	15	73	83	37	29		23		
hsa-miR-339-3p	2051	17	35	80	120	72	78	111	65	11		41	97	103	216	74	287	11	246	41	107	13	154	76		276	75	236	207	44	23	92	60		18
hsa-miR-339-5p	538	82	108	110	267	173	223	91	112	66	37	152	212	249	457	120	251	1	448	81	70	114	309	127	11	512	110	838	355	79	181	139	280	58	48
hsa-miR-33a-3p	5			3																				9			16	14	19						
hsa-miR-33a-5p	111		3	7	11					13			2	11	25	5	2				1	4				7		23	12						
hsa-miR-33b-3p	24					6																	8					14							
hsa-miR-33b-5p	104														1											8		5							
hsa-miR-340-3p	17102	18	43	69	47	77	199	98	13	15	2	8	60	78	130	49	121		118	73	25	38	163	46	21	154	77	281	138	57	1	67	23		53
hsa-miR-340-5p	36152		122	291	223	213	186	221	33	43	25	130	91	284	355	129	452	17	126	121	135	86	235	86	55	921	122	1336	633	131	89	3	103		74
hsa-miR-342-3p	17253	89	180	408	264	317	330	434	262	123	16	147	228	398	674	171	605	15	433	156	145	94	866	184	101	1219	202	1869	949	180	512	175	304	24	90
hsa-miR-342-5p	692		3	10	3	4	15	29					4	8	16	17	25		16	6	5		7			28		75	16						
hsa-miR-345-3p																1																			
hsa-miR-345-5p	2321		65	126	282	178	149	54	103	29	49	111	117	367	451	154	621	1	400	83	172	137	433	122	68	392	255	400	515	160	192	90	303		53
hsa-miR-346	3450																											6							
hsa-miR-34a-3p	12													3	4		20													11					
hsa-miR-34a-5p	3139	51	44	13	68	79	21	10	46	23	10	5	57	67	97	38	162	3	45	38	7	51	166		14	98	47	296	259	39	101	14	128	19	38
hsa-miR-34b-3p	374			6										2							22	5		12	2	7	4	5							
hsa-miR-34b-5p	43			3																						1									
hsa-miR-34c-3p	136																												5						
hsa-miR-34c-5p	213						4		3							2					16					4		9	2						
hsa-miR-3529-5p	66																																		
hsa-miR-3605-3p	284		11	13	7	33	15	71	9	8	1	3	11	10	44	1	16		3	2	17	13	54	12		43	2	12	15	4	1		1		
hsa-miR-3605-5p	35				8				5			12		4		6	10			4						4	5	2	8		33				
hsa-miR-3609	53																														84				
hsa-miR-361-3p	8042	46	325	449	446	285	431	333	250	127	107	182	246	455	840	136	741	12	489	118	154	160	726	176	66	818	217	1003	781	106	349	55	435	17	154
hsa-miR-361-5p	15460	212	232	367	469	471	467	291	174	221	39	216	301	653	790	257	942	3	571	243	300	146	1192	150	155	1147	257	1973	1224	124	349	102	360	31	254
hsa-miR-3610									1																										
hsa-miR-3611														2															5						
hsa-miR-3612	41																																		
hsa-miR-3613-3p	13				3									1					1							1			9						
hsa-miR-3613-5p	10847	67	65	78	99	79	318	79	60	65	24	53	75	166	232	67	260	10	119	46	156	83	158	69	37	379	76	259	225	116	114	92	242		47
hsa-miR-3614-3p																													6	15					
hsa-miR-3614-5p							7			10				1													5								
hsa-miR-3615	2204	12	34	28	41	31	21	35	28	17	8	33	10	69	105	5	72	1	98	14	37	32	70	5		178	66	80	107	10	183	19	91		26
hsa-miR-3616-5p	16															4										3									
hsa-miR-3617-3p	15																																		
hsa-miR-3617-5p																1														5			8		
hsa-miR-3619-3p																										5									
hsa-miR-362-3p	63		6	34	56	109	43	69	31	19	4	20	56	77	191	36	185		76	11	63	37	101	8	5	241	45	106	139	11					20
hsa-miR-362-5p	489		173	287	348	212	168	248	210	91	15	171	225	279	781	143	482	1	741	159	169	126	828	117	123	767	117	929	766	63	170	95	513		114
hsa-miR-3620-3p																	6												4						
hsa-miR-3622a-3p	44															1	1											3							
hsa-miR-3622a-5p	103		4		8	3							5				15									1			3	1					
hsa-miR-3622b-3p					1																														
hsa-miR-363-3p	6067	527	234	255	458	210	396	297	252	186	49	185	250	381	1109	711	524	22	815	136	311	104	1110	78	78	1818	634	12388	815	73	135	148	171	9	126
hsa-miR-363-5p										4					6	2	4		2				6					45							
hsa-miR-3646														1																					
hsa-miR-3648												1		42		24			28		2								1				1		
hsa-miR-365a-3p	1308	10	22	24	76	78	64	106	52	26		19	23	115	64	28	169		81	14	26	14	64	11	22	103	43	492	170	2	30	21	22		25
hsa-miR-365a-5p	18		5	1		7		1	8				4	6	2	6			17	2	18					4		16	11	16			12		36
hsa-miR-365b-3p	1308	10	22	24	76	78	64	106	52	26		19	23	115	64	28	169		81	14	26	14	64	11	22	103	43	492	170	2	30	21	22		25
hsa-miR-365b-5p				6	3	3	4		2					11	3	5	9									7	27	86	5						1
hsa-miR-3663-3p	15																																		
